id,ticker,date,open,high,low,close,adj_close,volume
4640,AMZN,2024-05-24,181.6500,182.4400,180.3000,180.7500,180.7500,27471600
4641,AMZN,2024-05-28,179.9300,182.2400,179.4900,182.1500,182.1500,29927000
4642,AMZN,2024-05-29,181.7000,184.0800,181.5500,182.0200,182.0200,32009300
4643,AMZN,2024-05-30,181.3100,181.3400,178.3600,179.3200,179.3200,29184700
4644,AMZN,2024-05-31,178.3000,179.2100,173.8700,176.4400,176.4400,58903900
4645,AMZN,2024-06-03,177.7000,178.7000,175.9200,178.3400,178.3400,30786600
4646,AMZN,2024-06-04,177.6400,179.8200,176.4400,179.3400,179.3400,27198400
4647,AMZN,2024-06-05,180.1000,181.5000,178.7500,181.2800,181.2800,32116400
4648,AMZN,2024-06-06,181.7500,185.0000,181.4900,185.0000,185.0000,31371200
4649,AMZN,2024-06-07,184.9000,186.2900,183.3600,184.3000,184.3000,28021500
4650,AMZN,2024-06-10,184.0700,187.2300,183.7900,187.0600,187.0600,34445600
4651,AMZN,2024-06-11,187.0600,187.7700,184.5400,187.2300,187.2300,27265100
4652,AMZN,2024-06-12,188.0200,188.3500,185.4300,186.8900,186.8900,33984200
4653,AMZN,2024-06-13,186.0900,187.6700,182.6700,183.8300,183.8300,39721500
4654,AMZN,2024-06-14,183.0800,183.7200,182.2300,183.6600,183.6600,25456400
4655,AMZN,2024-06-17,182.5200,185.0000,181.2200,184.0600,184.0600,35601900
4656,AMZN,2024-06-18,183.7400,184.2900,181.4300,182.8100,182.8100,36659200
4657,AMZN,2024-06-20,182.9100,186.5100,182.7200,186.1000,186.1000,44726800
4658,AMZN,2024-06-21,187.8000,189.2800,185.8600,189.0800,189.0800,70792500
4659,AMZN,2024-06-24,189.3300,191.0000,185.3300,185.5700,185.5700,50610400
4660,AMZN,2024-06-25,186.8100,188.8400,185.4200,186.3400,186.3400,45366400
4661,AMZN,2024-06-26,186.9200,194.8000,186.2600,193.6100,193.6100,65103900
4662,AMZN,2024-06-27,195.0100,199.8400,194.2000,197.8500,197.8500,74397500
4663,AMZN,2024-06-28,197.7300,198.8500,192.5000,193.2500,193.2500,76930200
4664,AMZN,2024-07-01,193.4900,198.3000,192.8200,197.2000,197.2000,41192000
4665,AMZN,2024-07-02,197.2800,200.4300,195.9300,200.0000,200.0000,45600000
4666,AMZN,2024-07-03,199.9400,200.0300,196.7600,197.5900,197.5900,31597900
4667,AMZN,2024-07-05,198.6500,200.5500,198.1700,200.0000,200.0000,39858900
